team_id,url_for_year,Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Playoffs,Coaches,date_index,won_stanley_cup
BOS,http://www.hockey-reference.com/teams/BOS/1999.html,1998-99,NHL,Boston Bruins,82,39,30,13,0,91,.555,0.40,0.00,3rd,Lost NHL Conference Semi-Finals,P. Burns,01/01/1998,0
BOS,http://www.hockey-reference.com/teams/BOS/1998.html,1997-98,NHL,Boston Bruins,82,39,30,13,0,91,.555,0.33,0.00,2nd,Lost NHL Conference Quarter-Finals,P. Burns,01/01/1997,0
BOS,http://www.hockey-reference.com/teams/BOS/1997.html,1996-97,NHL,Boston Bruins,82,26,47,9,0,61,.372,-0.78,0.02,6th,,S. Kasper,01/01/1996,0
BOS,http://www.hockey-reference.com/teams/BOS/1996.html,1995-96,NHL,Boston Bruins,82,40,31,11,0,91,.555,0.17,0.01,2nd,Lost NHL Conference Quarter-Finals,S. Kasper,01/01/1995,0
BOS,http://www.hockey-reference.com/teams/BOS/1995.html,1994-95,NHL,Boston Bruins,48,27,18,3,0,57,.594,0.46,-0.02,3rd,Lost NHL Conference Quarter-Finals,B. Sutter,01/01/1994,0
BOS,http://www.hockey-reference.com/teams/BOS/1994.html,1993-94,NHL,Boston Bruins,84,42,29,13,0,97,.577,0.41,-0.03,2nd,Lost NHL Conference Semi-Finals,B. Sutter,01/01/1993,0
BOS,http://www.hockey-reference.com/teams/BOS/1993.html,1992-93,NHL,Boston Bruins,84,51,26,7,0,109,.649,0.74,-0.03,1st,Lost NHL Division Semi-Finals,B. Sutter,01/01/1992,0
BOS,http://www.hockey-reference.com/teams/BOS/1992.html,1991-92,NHL,Boston Bruins,80,36,32,12,0,84,.525,-0.09,-0.03,2nd,Lost NHL Conference Finals,R. Bowness,01/01/1991,0
BOS,http://www.hockey-reference.com/teams/BOS/1991.html,1990-91,NHL,Boston Bruins,80,44,24,12,0,100,.625,0.32,-0.12,1st,Lost NHL Conference Finals,M. Milbury,01/01/1990,0
BOS,http://www.hockey-reference.com/teams/BOS/1990.html,1989-90,NHL,Boston Bruins,80,46,25,9,0,101,.631,0.64,-0.08,1st,Lost Stanley Cup Finals,M. Milbury,01/01/1989,0
BOS,http://www.hockey-reference.com/teams/BOS/1989.html,1988-89,NHL,Boston Bruins,80,37,29,14,0,88,.550,0.43,0.02,2nd,Lost NHL Division Finals,T. O'Reilly,01/01/1988,0
BOS,http://www.hockey-reference.com/teams/BOS/1988.html,1987-88,NHL,Boston Bruins,80,44,30,6,0,94,.588,0.59,-0.03,2nd,Lost Stanley Cup Finals,T. O'Reilly,01/01/1987,0
BOS,http://www.hockey-reference.com/teams/BOS/1987.html,1986-87,NHL,Boston Bruins,80,39,34,7,0,85,.531,0.32,0.01,3rd,Lost NHL Division Semi-Finals,B. Goring,01/01/1986,0
BOS,http://www.hockey-reference.com/teams/BOS/1986.html,1985-86,NHL,Boston Bruins,80,37,31,12,0,86,.538,0.40,0.11,3rd,Lost NHL Division Semi-Finals,B. Goring,01/01/1985,0
BOS,http://www.hockey-reference.com/teams/BOS/1985.html,1984-85,NHL,Boston Bruins,80,36,34,10,0,82,.513,0.29,0.09,4th,Lost NHL Division Semi-Finals,G. Cheevers,01/01/1984,0
BOS,http://www.hockey-reference.com/teams/BOS/1984.html,1983-84,NHL,Boston Bruins,80,49,25,6,0,104,.650,1.01,0.07,1st,Lost NHL Division Semi-Finals,G. Cheevers,01/01/1983,0
BOS,http://www.hockey-reference.com/teams/BOS/1983.html,1982-83,NHL,Boston Bruins,80,50,20,10,0,110,.688,1.18,-0.06,1st,Lost NHL Conference Finals,G. Cheevers,01/01/1982,0
BOS,http://www.hockey-reference.com/teams/BOS/1982.html,1981-82,NHL,Boston Bruins,80,43,27,10,0,96,.600,0.55,0.08,2nd,Lost NHL Division Finals,G. Cheevers,01/01/1981,0
BOS,http://www.hockey-reference.com/teams/BOS/1981.html,1980-81,NHL,Boston Bruins,80,37,30,13,0,87,.544,0.52,-0.03,2nd,Lost NHL Preliminary Round,G. Cheevers,01/01/1980,0
BOS,http://www.hockey-reference.com/teams/BOS/1980.html,1979-80,NHL,Boston Bruins,80,46,21,13,0,105,.656,0.91,-0.05,2nd,Lost NHL Quarter-Finals,F. Creighton,01/01/1979,0
BOS,http://www.hockey-reference.com/teams/BOS/1979.html,1978-79,NHL,Boston Bruins,80,43,23,14,0,100,.625,0.57,0.00,1st,Lost NHL Semi-Finals,D. Cherry,01/01/1978,0
BOS,http://www.hockey-reference.com/teams/BOS/1978.html,1977-78,NHL,Boston Bruins,80,51,18,11,0,113,.706,1.37,-0.07,1st,Lost Stanley Cup Finals,D. Cherry,01/01/1977,0
BOS,http://www.hockey-reference.com/teams/BOS/1977.html,1976-77,NHL,Boston Bruins,80,49,23,8,0,106,.663,0.87,-0.03,1st,Lost Stanley Cup Finals,D. Cherry,01/01/1976,0
BOS,http://www.hockey-reference.com/teams/BOS/1976.html,1975-76,NHL,Boston Bruins,80,48,15,17,0,113,.706,0.93,-0.02,1st,Lost NHL Semi-Finals,D. Cherry,01/01/1975,0
BOS,http://www.hockey-reference.com/teams/BOS/1975.html,1974-75,NHL,Boston Bruins,80,40,26,14,0,94,.588,1.18,-0.07,2nd,Lost NHL Preliminary Round,D. Cherry,01/01/1974,0
BOS,http://www.hockey-reference.com/teams/BOS/1974.html,1973-74,NHL,Boston Bruins,78,52,17,9,0,113,.724,1.55,-0.09,1st,Lost Stanley Cup Finals,B. Guidolin,01/01/1973,0
BOS,http://www.hockey-reference.com/teams/BOS/1973.html,1972-73,NHL,Boston Bruins,78,51,22,5,0,107,.686,1.14,-0.08,2nd,Lost NHL Quarter-Finals,T. Johnson,01/01/1972,0
BOS,http://www.hockey-reference.com/teams/BOS/1972.html,1971-72,NHL,Boston Bruins,78,54,13,11,0,119,.763,1.50,-0.12,1st,<strong>Won Stanley Cup Finals</strong>,T. Johnson,01/01/1971,1
BOS,http://www.hockey-reference.com/teams/BOS/1971.html,1970-71,NHL,Boston Bruins,78,57,14,7,0,121,.776,2.29,-0.18,1st,Lost NHL Quarter-Finals,T. Johnson,01/01/1970,0
BOS,http://www.hockey-reference.com/teams/BOS/1970.html,1969-70,NHL,Boston Bruins,76,40,17,19,0,99,.651,0.81,0.01,2nd,<strong>Won Stanley Cup Finals</strong>,H. Sinden,01/01/1969,1
BOS,http://www.hockey-reference.com/teams/BOS/1969.html,1968-69,NHL,Boston Bruins,76,42,18,16,0,100,.658,1.06,-0.02,2nd,Lost NHL Semi-Finals,H. Sinden,01/01/1968,0
BOS,http://www.hockey-reference.com/teams/BOS/1968.html,1967-68,NHL,Boston Bruins,74,37,27,10,0,84,.568,0.76,0.18,3rd,Lost NHL Quarter-Finals,H. Sinden,01/01/1967,0
BOS,http://www.hockey-reference.com/teams/BOS/1967.html,1966-67,NHL,Boston Bruins,70,17,43,10,0,44,.314,-0.85,0.17,6th,,H. Sinden,01/01/1966,0
BOS,http://www.hockey-reference.com/teams/BOS/1966.html,1965-66,NHL,Boston Bruins,70,21,43,6,0,48,.343,-1.20,0.24,5th,,M. Schmidt,01/01/1965,0
BOS,http://www.hockey-reference.com/teams/BOS/1965.html,1964-65,NHL,Boston Bruins,70,21,43,6,0,48,.343,-1.04,0.21,6th,,M. Schmidt,01/01/1964,0
BOS,http://www.hockey-reference.com/teams/BOS/1964.html,1963-64,NHL,Boston Bruins,70,18,40,12,0,48,.343,-0.50,0.10,6th,,M. Schmidt,01/01/1963,0
BOS,http://www.hockey-reference.com/teams/BOS/1963.html,1962-63,NHL,Boston Bruins,70,14,39,17,0,45,.321,-0.99,0.20,6th,,P. Watson,01/01/1962,0
BOS,http://www.hockey-reference.com/teams/BOS/1962.html,1961-62,NHL,Boston Bruins,70,15,47,8,0,38,.271,-1.54,0.31,6th,,P. Watson,01/01/1961,0
BOS,http://www.hockey-reference.com/teams/BOS/1961.html,1960-61,NHL,Boston Bruins,70,15,42,13,0,43,.307,-0.93,0.19,6th,,M. Schmidt,01/01/1960,0
BOS,http://www.hockey-reference.com/teams/BOS/1960.html,1959-60,NHL,Boston Bruins,70,28,34,8,0,64,.457,-0.25,0.05,5th,,M. Schmidt,01/01/1959,0
BOS,http://www.hockey-reference.com/teams/BOS/1959.html,1958-59,NHL,Boston Bruins,70,32,29,9,0,73,.521,-0.12,0.02,2nd,Lost NHL Semi-Finals,M. Schmidt,01/01/1958,0
BOS,http://www.hockey-reference.com/teams/BOS/1958.html,1957-58,NHL,Boston Bruins,70,27,28,15,0,69,.493,0.06,-0.01,4th,Lost Stanley Cup Finals,M. Schmidt,01/01/1957,0
BOS,http://www.hockey-reference.com/teams/BOS/1957.html,1956-57,NHL,Boston Bruins,70,34,24,12,0,80,.571,0.25,-0.05,3rd,Lost Stanley Cup Finals,M. Schmidt,01/01/1956,0
BOS,http://www.hockey-reference.com/teams/BOS/1956.html,1955-56,NHL,Boston Bruins,70,23,34,13,0,59,.421,-0.45,0.09,5th,,M. Schmidt,01/01/1955,0
BOS,http://www.hockey-reference.com/teams/BOS/1955.html,1954-55,NHL,Boston Bruins,70,23,26,21,0,67,.479,-0.23,0.05,4th,Lost NHL Semi-Finals,L. Patrick,01/01/1954,0
BOS,http://www.hockey-reference.com/teams/BOS/1954.html,1953-54,NHL,Boston Bruins,70,32,28,10,0,74,.529,-0.05,0.01,4th,Lost NHL Semi-Finals,L. Patrick,01/01/1953,0
BOS,http://www.hockey-reference.com/teams/BOS/1953.html,1952-53,NHL,Boston Bruins,70,28,29,13,0,69,.493,-0.24,0.05,3rd,Lost Stanley Cup Finals,L. Patrick,01/01/1952,0
BOS,http://www.hockey-reference.com/teams/BOS/1952.html,1951-52,NHL,Boston Bruins,70,25,29,16,0,66,.471,-0.17,0.03,4th,Lost NHL Semi-Finals,L. Patrick,01/01/1951,0
BOS,http://www.hockey-reference.com/teams/BOS/1951.html,1950-51,NHL,Boston Bruins,70,22,30,18,0,62,.443,-0.23,0.05,4th,Lost NHL Semi-Finals,L. Patrick,01/01/1950,0
BOS,http://www.hockey-reference.com/teams/BOS/1950.html,1949-50,NHL,Boston Bruins,70,22,32,16,0,60,.429,-0.36,0.07,5th,,G. Boucher,01/01/1949,0
BOS,http://www.hockey-reference.com/teams/BOS/1949.html,1948-49,NHL,Boston Bruins,60,29,23,8,0,66,.550,0.21,-0.04,2nd,Lost NHL Semi-Finals,D. Clapper,01/01/1948,0
BOS,http://www.hockey-reference.com/teams/BOS/1948.html,1947-48,NHL,Boston Bruins,60,23,24,13,0,59,.492,-0.02,0.00,3rd,Lost NHL Semi-Finals,D. Clapper,01/01/1947,0
BOS,http://www.hockey-reference.com/teams/BOS/1947.html,1946-47,NHL,Boston Bruins,60,26,23,11,0,63,.525,0.21,-0.04,3rd,Lost NHL Semi-Finals,D. Clapper,01/01/1946,0
BOS,http://www.hockey-reference.com/teams/BOS/1946.html,1945-46,NHL,Boston Bruins,50,24,18,8,0,56,.560,0.18,-0.04,2nd,Lost Stanley Cup Finals,D. Clapper,01/01/1945,0
BOS,http://www.hockey-reference.com/teams/BOS/1945.html,1944-45,NHL,Boston Bruins,50,16,30,4,0,36,.360,-0.67,0.13,4th,Lost NHL Semi-Finals,A. Ross,01/01/1944,0
BOS,http://www.hockey-reference.com/teams/BOS/1944.html,1943-44,NHL,Boston Bruins,50,19,26,5,0,43,.430,-0.75,0.15,5th,,A. Ross,01/01/1943,0
BOS,http://www.hockey-reference.com/teams/BOS/1943.html,1942-43,NHL,Boston Bruins,50,24,17,9,0,57,.570,0.32,-0.06,2nd,Lost Stanley Cup Finals,A. Ross,01/01/1942,0
BOS,http://www.hockey-reference.com/teams/BOS/1942.html,1941-42,NHL,Boston Bruins,48,25,17,6,0,56,.583,0.75,-0.13,3rd,Lost NHL Semi-Finals,A. Ross,01/01/1941,0
BOS,http://www.hockey-reference.com/teams/BOS/1941.html,1940-41,NHL,Boston Bruins,48,27,8,13,0,67,.698,1.18,-0.20,1st,<strong>Won Stanley Cup Finals</strong>,C. Weiland,01/01/1940,1
BOS,http://www.hockey-reference.com/teams/BOS/1940.html,1939-40,NHL,Boston Bruins,48,31,12,5,0,67,.698,1.29,-0.21,1st,Lost NHL Semi-Finals,C. Weiland,01/01/1939,0
BOS,http://www.hockey-reference.com/teams/BOS/1939.html,1938-39,NHL,Boston Bruins,48,36,10,2,0,74,.771,1.43,-0.24,1st,<strong>Won Stanley Cup Finals</strong>,A. Ross,01/01/1938,1
BOS,http://www.hockey-reference.com/teams/BOS/1938.html,1937-38,NHL,Boston Bruins,48,30,11,7,0,67,.698,0.97,-0.14,1st,Lost NHL Semi-Finals,A. Ross,01/01/1937,0
BOS,http://www.hockey-reference.com/teams/BOS/1937.html,1936-37,NHL,Boston Bruins,48,23,18,7,0,53,.552,0.19,-0.02,2nd,Lost NHL Quarter-Finals,A. Ross,01/01/1936,0
BOS,http://www.hockey-reference.com/teams/BOS/1936.html,1935-36,NHL,Boston Bruins,48,22,20,6,0,50,.521,0.18,-0.01,2nd,Lost NHL Quarter-Finals,F. Patrick,01/01/1935,0
BOS,http://www.hockey-reference.com/teams/BOS/1935.html,1934-35,NHL,Boston Bruins,48,26,16,6,0,58,.604,0.31,-0.04,1st,Lost NHL Semi-Finals,F. Patrick,01/01/1934,0
BOS,http://www.hockey-reference.com/teams/BOS/1934.html,1933-34,NHL,Boston Bruins,48,18,25,5,0,41,.427,-0.35,0.04,4th,,A. Ross,01/01/1933,0
BOS,http://www.hockey-reference.com/teams/BOS/1933.html,1932-33,NHL,Boston Bruins,48,25,15,8,0,58,.604,0.67,-0.08,1st,Lost NHL Semi-Finals,A. Ross,01/01/1932,0
BOS,http://www.hockey-reference.com/teams/BOS/1932.html,1931-32,NHL,Boston Bruins,48,15,21,12,0,42,.438,0.09,-0.02,4th,,A. Ross,01/01/1931,0
BOS,http://www.hockey-reference.com/teams/BOS/1931.html,1930-31,NHL,Boston Bruins,44,28,10,6,0,62,.705,1.05,-0.15,1st,Lost NHL Semi-Finals,A. Ross,01/01/1930,0
BOS,http://www.hockey-reference.com/teams/BOS/1930.html,1929-30,NHL,Boston Bruins,44,38,5,1,0,77,.875,1.60,-0.24,1st,Lost Stanley Cup Finals,A. Ross,01/01/1929,0
BOS,http://www.hockey-reference.com/teams/BOS/1929.html,1928-29,NHL,Boston Bruins,44,26,13,5,0,57,.648,0.71,-0.13,1st,<strong>Won Stanley Cup Finals</strong>,C. Denneny,01/01/1928,1
BOS,http://www.hockey-reference.com/teams/BOS/1928.html,1927-28,NHL,Boston Bruins,44,20,13,11,0,51,.580,0.10,-0.06,1st,Lost NHL Semi-Finals,A. Ross,01/01/1927,0
BOS,http://www.hockey-reference.com/teams/BOS/1927.html,1926-27,NHL,Boston Bruins,44,21,20,3,0,45,.511,0.13,-0.05,2nd,Lost Stanley Cup Finals,A. Ross,01/01/1926,0
BOS,http://www.hockey-reference.com/teams/BOS/1926.html,1925-26,NHL,Boston Bruins,36,17,15,4,0,38,.528,0.17,-0.03,4th,,A. Ross,01/01/1925,0
BOS,http://www.hockey-reference.com/teams/BOS/1925.html,1924-25,NHL,Boston Bruins,30,6,24,0,0,12,.200,-1.94,0.39,6th,,A. Ross,01/01/1924,0
BUF,http://www.hockey-reference.com/teams/BUF/2012.html,2011-12,NHL,Buffalo Sabres,82,39,32,0,11,89,.543,-0.15,0.00,3rd,,L. Ruff,01/01/2011,0
BUF,http://www.hockey-reference.com/teams/BUF/2011.html,2010-11,NHL,Buffalo Sabres,82,43,29,0,10,96,.585,0.15,-0.04,2nd,Lost NHL Conference Quarter-Finals,L. Ruff,01/01/2010,0
BUF,http://www.hockey-reference.com/teams/BUF/2010.html,2009-10,NHL,Buffalo Sabres,82,45,27,0,10,100,.610,0.26,-0.08,1st,Lost NHL Conference Quarter-Finals,L. Ruff,01/01/2009,0
BUF,http://www.hockey-reference.com/teams/BUF/2009.html,2008-09,NHL,Buffalo Sabres,82,41,32,0,9,91,.555,0.18,-0.02,3rd,,L. Ruff,01/01/2008,0
BUF,http://www.hockey-reference.com/teams/BUF/2008.html,2007-08,NHL,Buffalo Sabres,82,39,31,0,12,90,.549,0.05,-0.11,4th,,L. Ruff,01/01/2007,0
BUF,http://www.hockey-reference.com/teams/BUF/2007.html,2006-07,NHL,Buffalo Sabres,82,53,22,0,7,113,.689,0.64,-0.16,1st,Lost NHL Conference Finals,L. Ruff,01/01/2006,0
BUF,http://www.hockey-reference.com/teams/BUF/2006.html,2005-06,NHL,Buffalo Sabres,82,52,24,0,6,110,.671,0.50,-0.01,2nd,Lost NHL Conference Finals,L. Ruff,01/01/2005,0
BUF,http://www.hockey-reference.com/teams/BUF/2004.html,2003-04,NHL,Buffalo Sabres,82,37,34,7,4,85,.518,0.02,0.04,5th,,L. Ruff,01/01/2003,0
BUF,http://www.hockey-reference.com/teams/BUF/2003.html,2002-03,NHL,Buffalo Sabres,82,27,37,10,8,72,.439,-0.40,-0.05,5th,,L. Ruff,01/01/2002,0
BUF,http://www.hockey-reference.com/teams/BUF/2002.html,2001-02,NHL,Buffalo Sabres,82,35,35,11,1,82,.500,0.09,-0.07,5th,,L. Ruff,01/01/2001,0
BUF,http://www.hockey-reference.com/teams/BUF/2001.html,2000-01,NHL,Buffalo Sabres,82,46,30,5,1,98,.598,0.35,-0.07,2nd,Lost NHL Conference Semi-Finals,L. Ruff,01/01/2000,0
BUF,http://www.hockey-reference.com/teams/BUF/2000.html,1999-00,NHL,Buffalo Sabres,82,35,32,11,4,85,.518,0.01,-0.10,3rd,Lost NHL Conference Quarter-Finals,L. Ruff,01/01/1999,0
BUF,http://www.hockey-reference.com/teams/BUF/1999.html,1998-99,NHL,Buffalo Sabres,82,37,28,17,0,91,.555,0.41,0.02,4th,Lost Stanley Cup Finals,L. Ruff,01/01/1998,0
BUF,http://www.hockey-reference.com/teams/BUF/1998.html,1997-98,NHL,Buffalo Sabres,82,36,29,17,0,89,.543,0.29,0.00,3rd,Lost NHL Conference Finals,L. Ruff,01/01/1997,0
